date,region,product,channel,revenue,orders,customers,ad_spend,returns
2024-01-01,North,A,Online,12000,220,200,2500,20
2024-01-01,South,A,Online,9000,180,160,2000,15
2024-01-01,East,A,Offline,7000,140,120,1500,10
2024-01-01,West,A,Offline,8000,150,130,1700,12
2024-01-01,North,B,Online,15000,260,230,3000,25
2024-01-01,South,B,Online,10000,200,180,2200,18
2024-01-01,East,B,Offline,9000,170,150,1800,14
2024-01-01,West,B,Offline,9500,180,160,1900,16

2024-02-01,North,A,Online,10000,200,180,2000,18
2024-02-01,South,A,Online,7000,150,130,1400,14
2024-02-01,East,A,Offline,6000,120,100,1200,9
2024-02-01,West,A,Offline,6500,130,110,1300,10
2024-02-01,North,B,Online,13000,240,210,2600,22
2024-02-01,South,B,Online,8000,160,140,1600,16
2024-02-01,East,B,Offline,7000,150,130,1400,12
2024-02-01,West,B,Offline,7500,160,140,1500,13

2024-03-01,North,A,Online,14000,250,220,2800,21
2024-03-01,South,A,Online,8500,170,150,1700,15
2024-03-01,East,A,Offline,7500,150,130,1600,11
2024-03-01,West,A,Offline,8200,160,140,1800,12
2024-03-01,North,B,Online,16000,280,250,3200,26
2024-03-01,South,B,Online,9500,180,160,2000,17
2024-03-01,East,B,Offline,8500,160,140,1700,13
2024-03-01,West,B,Offline,9000,170,150,1800,14